id,comment,new,technical,local,correctional
50141127,#hotosm-project-3289 #FUKUOKA-OHITA-HeavyRain2017 #CrisisMappersJAPAN source=GSImaps/std I added buildings,1,0,1,0
50215409,added detail to hotel,1,0,0,0
50572347,Split snake roads,0,1,0,1
50647867,name a road,0,0,1,1
50721357,fixed road relation,0,0,0,1
50803018,adding name for the old farm,1,0,1,0
50825581,added buildings,1,0,0,0
50890071,added buildings #hotosm-project-3337 #MissingMaps #redcross #myanmar #amm #ammg17 #R461,1,0,0,0
50900439,added buildings #hotosm-project-3338 #MissingMaps #redcross #myanmar  #sagemore #snj #mappyhour,1,0,1,0
50966812,Added road,1,0,0,0
51447184,#hotosm-project-3346  #mapgive #MissingMaps added path,1,0,0,0
51526717,#hotosm-project-2361 #TanzaniaDevelopmentTrust #Tanzania #missingmaps #crowd2map Added Road and Buildings,1,0,0,0
51650909,Added house,1,0,0,0
51740906,fixing and cleaning up wikipedia/wikidata using https://wiki.openstreetmap.org/wiki/Wikidata%2BOSM_SPARQL_query_service},0,1,0,1
51816514,Highways in area tweaked.,0,0,0,1
51908169,#TanzaniaDevelopmentTrust #Tanzania #missingmaps #hotosm-project-3389 #crowd2map Added few more buildings and some more roads and paths,1,0,1,0
52109229,Not a road,0,0,0,1
52148798,#NAME?,0,0,0,0
52258180,aligned road to imagery,0,0,0,1
52367467,fix and add roads and buildtings in novoselki,1,0,0,1
52399884,Extending road south of Taenam-ri,1,0,0,0
52454569,building added.,1,0,0,0
52563284,"#hotosm-project-3643  #HurricaneMaria #PuertoRico  ""added buildings""",1,0,0,0
52577502,Moving The Drawing Center to its correct place. Added correct address for 3-7 Wooster. It has 3 retail stores which I'll add later,1,0,1,1
52639822,#hotosm-project-3661 #HurricaneMaria #PuertoRico added buildings,1,0,0,0
52670697,Residential Area in North Gosford. Buildings,1,0,0,0
52688269,Added a POI.,1,0,1,0
52781068,Added missing streets in Boston,1,0,0,0
52791504,Added shared driveway,1,0,1,0
53020428,Added buildings and roads in #Kenya #Mombasa #hotosm-project-3475 #MissingMaps added buildings,1,0,0,0
53033281,DRC #hotosm-project-3278 #MissingMaps #MapSouthKivu #CongoDRC #DigitalGlobe Added #buildings,1,0,0,0
53117220,Added maxheight for railroad bridge over Southwest Grahamas Ferry Road.,1,0,1,0
53245611,#hotosm-project-3386 added buildings #MissingMaps #redcross #myanmar #msft #msftgive #mapgive #msftbing Source=GeoEye-1,1,0,0,0
53262715,modified roads,0,0,0,1
53312429,Added Speedbumps,1,0,1,0
53406424,Correction of data. A point of intersection of roads has been created.,0,0,0,1
53416993,#hotosm-project-1482 added and aligned roads,1,0,0,1
53561022,Names,0,0,1,0
53568351,Added postal code.,1,0,0,0
53696508,added maxspeeds between Hemmelte and Warnstedt; added some missing house numbers at Hemmelte,1,0,1,0
53720680,Added toilet on banks vernonia trail,1,0,0,0
53738849,Add road surfaces,0,1,0,1
53759901,#hotosm-project-3805 added buildings #missingmaps #redcross #myanmar #osmgeoweek2017,1,0,0,0
53770206,added buildings #hotosm-project-3746 #MissingMaps #redcross #myanmar #osmgeoweek2017 #osmgeoweekunibo,1,0,0,0
53812768,Updated St. Elizabeth hospital area now that we have better satellite data. Added roundabout and better parking lot alignment.,0,1,1,1
53831893,Add road surfaces,1,1,0,0
53881538,Residential,1,0,0,0
53885658,#nsroadimport #thailand Added residential,1,0,0,0
53923090,added road surface,1,0,0,0
53973291,#hotosm-project-3603 #PueblaEarthquake #Puebla #OSMMX #task173 added buildings,1,0,0,0
54115001,street name,1,0,1,0
54127605,Mapping  buildings and residential areas in #NigerState #Nigeria #hotosm-project-3774 #MissingMaps,1,0,0,0
54317064,Added houses,1,0,0,0
54395692,added connection road,1,0,0,0
54408832,update road network,0,0,0,1
54427230,tourist attractions added/corrected,1,0,1,1
54472978,Changing designation as guidelines indicate unmaintained track road should only be used for agricultural and forestry use. Plus this is maintained,0,1,1,1
54513177,Added parking exit and info.,1,0,0,0
54585228,connecting road,1,0,0,0
54709584,Added Chicago Reptile House,1,0,1,0
54766645,removed more phantom roads,0,0,0,1
54773070,Missing elevation; added from SRTM,1,1,0,0
54933720,bldgs added,1,0,0,0
55066690,added some stuff,1,0,0,0
55083978,Amended residential land use vs farmland to reflect latest house building,1,0,0,1
55090816,Added mobile home park,1,0,0,0
55154393,Added buildings on the map,1,0,0,0
55232616,Added KIB,1,0,0,0
55282045,correct name,0,0,1,1
55322825,highways and names added,1,0,0,0
55324937,#hotosm-project-3995 #zambia #ZambiaCholeraOutbreak2018 changed roadtags and added some,1,0,0,1
55341240,Added bare rock,1,0,0,0
55342969,#hotosm-project-3825#Sri Lanka#Kandy#State of Sri Lankan Cities Added buildings and roads,1,0,0,0
55366668,tags added,1,0,0,0
55426992,Public park area added on KaunismÃ¤ki. Loimaa Central park added next to Loimaa market square. Marskin LeikkikenttÃ¤ playground added next to city library.,1,0,1,0
55428595,fixed road geometry,0,0,0,1
55593839,added / edited building(s),1,0,0,0
55644034,correction highway,0,1,0,1
55648382,fixed intersection of road,0,0,0,1
55705888,Kareas - Ilioupoli area buildings & roads edit,1,0,0,1
55713029,Added traffic light directions,1,1,0,0
55767358,corrected road geometry,0,1,0,1
55854598,Adding missing names.,1,0,1,0
55920746,#hotosm-project-3865 added buildings #missingmaps #redcross #vietnam #hatinh #vnrcmapathon,1,0,0,0
55935056,added road name,0,0,1,0
56030363,added a common intersection point,1,0,0,0
56064521,Determine road names,0,1,0,0
56150427,Links should not have name,0,0,0,1
56169577,New road has opened},1,0,1,0
56251355,some details added,1,0,0,0
56340121,#hotosm-project-301 #Specific Road Fixes,0,0,0,1
56362343,building added.,1,0,0,0
56407667,Added Roads,1,0,0,0
56408242,add service roads in agriculture college,1,0,0,0
56734136,Removing names from basins that are unnamed.,0,0,1,1
56842576,area:highway Tychowo,0,1,0,0
56868524,#NAME?,0,0,0,0
57007302,Added roads,1,0,0,0
57112009,added buildings #hotosm-project-2468 #missingmaps #redcross #myanmar #mapgive  #msft,1,0,0,0
57249635,street added,1,0,0,0
57377314,Ilioupoli area buildings & roads edit,1,0,1,1
57378568,add korean name,1,0,1,0
57521585,Added some minor roads,1,0,0,0
57522936,#hotosm-project-3967 #MissingMaps #Colombia #rccolombia #redcross adjusted existing roads and buildings,0,0,0,1
57536875,Added Residential Roads.,1,0,0,0
57575178,Added buildings and residential areas in #NigerState #Nigeria #hotosm-project-4319 #MissingMaps #MSF,1,0,0,0
57668195,building added.,1,0,0,0
57785477,#hotosm-project-3809 added buildings #missingmaps #redcross #myanmar,1,0,0,0
57803972,OSMI: fix duplicate road,0,0,0,1
57805912,added apartment roads near dosim station,1,0,0,0
57854553,edited roads,0,0,0,1
57856434,fixed road crossing buildings,0,0,0,1
57950975,updating road attributes; improving road alignments; deleting nonexistent roads,0,1,0,1
57956588,Adding farms and editing roads in Washington County,1,0,0,1
58145565,Created Residential Roads.,1,0,0,0
58199877,Added turn restrictions,1,0,0,0
58224415,Added buildings in #Douentza #Mali #hotosm-project-4425 #MissingMaps #MSF #BlackRock #BlackRockSanFrancisco,1,0,0,0
58298594,improved road mapping,0,0,0,1
58357155,Added road names and geometry referencing the Utah County GIS,1,0,1,0
58392375,added tennis courts and basketball courts,1,0,0,0
58417585,Add road surfaces,0,1,0,1
58417632,maproulette Washington State TIGER road cleanup,0,1,1,1
58461071,Added buildings in #Harare #Zimbabwe #hotosm-project-4466 #MissingMaps #MSF,1,0,0,0
58618497,improved road mapping,0,0,0,1
58678722,Added houses,1,0,0,0
58751059,edited roads,0,0,0,1
58772033,Aligning road Ð¡Ð°Ð²Ð¸Ð½ÑÐºÐ¸Ð¹ â€” Ð¯Ñ€Ð½ÐµÐ¼Ð° â€” ÐžÐ½ÐµÐ³Ð° according to imagery and GPX traces,0,1,1,1
58834156,added church,1,0,0,0
58944104,Added Buildings,1,0,0,0
58992973,Added residential areas in Sokoto and Kebbi #Nigeria #hotosm-project-4504 #MissingMaps #MSF,1,0,1,0
59071387,#hotosm-project-3805 added buildings #missingmaps #redcross #myanmar Added and Edited Buildings as per Bing  image,1,0,0,0
59162501,Added details per survey.,1,0,0,0
59249675,highway path,1,0,0,0
59263512,added some road at some villages in Lesbos island Greece,1,0,0,0
59291327,DAdded detail for crossing,1,0,0,0
59291792,Added,1,0,0,0
59297818,Added name SanddalsÃ¡,0,0,1,0
59337360,Added Information,1,0,0,0
59339590,Residential Roads are added around this region,1,0,0,0
59358889,Added buildings and residential areas in #NigerState #Nigeria #hotosm-project-4319 #MissingMaps #MSF,1,0,0,0
59391650,reshape road from pdok,0,0,0,1
59401675,added lanes,1,0,0,0
59521079,Creating service road in the parking area and connecting it.,1,1,0,0
59842924,Rozendaal/Impasse du Val des Roses - added name:language tag,1,0,1,0
59843264,Fixing an Crossing Highway,0,0,0,1
59860708,added public art,1,0,1,0
59864221,added cliff features,1,0,0,0
59902681,Gurten: added track surface,1,0,0,0
59963476,Fixed crossing highways,0,0,0,1
59996874,Updated name,0,0,0,1
60142253,Edited roads,0,0,0,1
60155357,Aligned and added residential roads and changed classification to unclassified according to Digital globe standard imagery,1,0,0,1
60237518,Mapped missing residential roads in this area as per the imagery,1,0,0,0
60248444,Created few residential ways,1,0,0,0
60319042,Added truck stop on Beaudesert Boonah Road.,1,0,0,0
60351303,Edited road names in Fes,0,0,1,1
60790054,fixing unconnected highways,0,1,0,1
60827536,fixing unconnected highways,0,1,0,1
60851948,Highway_update,0,0,0,1
60899888,Added road,1,0,0,0
61107102,Unglue road ways from non-navigable parking area ways.,0,1,0,1
61113796,Fixed a Crossing Highway,0,0,0,1
61214892,fixing crossing highways.,0,0,0,1
61218383,fixing crossing highways.,0,0,0,1
61460553,#hotosm-project-3866 added buildings #missingmaps #redcross #vietnam #hatinh #vnrcmapathon #amm #singapore #ammg18,1,0,0,0
61467356,added wikidata,1,0,0,0
61520435,Added and aligned residential ways using Bing.,1,0,0,1
61554332,Marked roads as being not sidewalks. #dfwosm #dfwsidewalks,0,0,1,1
61556255,Added some buildings to Cuba,1,0,0,0
61590980,Bus stop name,0,0,1,1
61601598,added buildings #hotosm-project-3344 #MissingMaps #redcross #myanmar,1,0,0,0
61699942,created roads,1,0,0,0
61732325,Updated the area by adding missing residential roads using ESRI imagery,1,0,0,0
61744546,Created residential ways,1,0,0,0
61759138,Adding missing roads in VIC.,1,0,1,0
61770134,road,1,0,0,0
61994819,remove unnecessary name tag on boundary way},0,0,0,1
62295827,Correcting Street Name in Development,0,0,1,1
62325942,Added natural=water; Adjustements,1,1,0,1
62365995,Names,0,0,1,0
62545574,#IndonesiaRoadMapping #hotosm modified and created some road,1,0,0,1
62596724,Adding Details and correcting roads,1,0,0,1
62626517,#hotosm-project-5182 #GuineaFloods2018 #Gaoual #Guinea Requested Road Network Update and Completion - #SOSGaoual #Map4Gn #OSMGuinee,1,0,1,0
62804186,Added missing residential roads as per DG Standard Imagery,1,0,0,0
62853927,Building(s) added.,1,0,0,0
62871940,#hotosm-project-4982 #missingmaps #uganda #kibaale added and adjusted buildings,1,0,0,1
63008342,edited road direction .,0,0,0,1
63090944,Added and aligned residential roads,1,0,0,1
63120956,Added 123market.pl shop,1,0,0,0
63156646,German name,0,0,1,0
63161154,Add road surfaces,1,1,0,0
63209976,deleting nonexistent road,0,0,0,1
63263028,Added Vineyard at Tuttle Crossing church,1,0,1,0
63352225,Added and aligned residential ways and upgraded the track to residential and unclassified waysusing esri imagery,1,0,0,1
63362029,Road geometry edits and classification updates.,0,1,0,1
63363701,Fixed road.,0,0,0,1
63388956,Added and aligned the residential ways,1,1,0,1
63511808,Adding streets and buildings in Suriname.,1,0,0,0
63581298,highway details,1,0,0,0
63656204,Aligned Sheikh Khalifa Bin Zayed Highway to imagery. #Kaart 2018,0,0,0,1
63764518,add residential areas,1,0,0,0
63815576,Created and Aligned existing residential ways  with reference to Mapbox satellite Imagery,1,0,0,1
63831634,added residential and service roads and aligned roads using Esri Imagery in this area,1,0,0,1
63860108,Add road name,0,0,1,1
63890873,edited road name,0,0,1,1
63942927,Street name may need fixing. Please review. Surveying encouraged.,0,0,1,1
63944282,Member added (removing hole in the relation),0,1,0,1
63994343,Aligned residential and unclassified roads. #Kaart 2018,0,0,0,1
64018237,"Updated name tags for secondary way ""Al Gurfa Road"". #Kaart 2018",0,0,1,1
64061475,Add road surfaces,0,1,0,1
64071615,Add road name,1,0,0,0
64103053,Created Service Road from North Martin Luther King Jr Avenue,1,0,0,0
64133297,the name was not correct,0,0,1,1
64189372,Added residential ways using Digital Globe premium imagery,1,0,0,0
64195051,Added Service Road from Minoru Boulevard,1,0,0,0
64240236,Alignment adjustments made to the residential roads around Condominio Los Aromos,0,0,0,1
64387445,edited roads,0,0,0,1
64502548,Ã„nderung des Namens.,0,0,1,1
64578615,Added tertiary way,1,1,0,0
64595016,Shape improved.,0,1,0,1
64678305,added restrictions,1,0,0,0
64731553,TekirdaÄŸ road network improvements #Kaart #hotosm-project-4677,1,0,1,1
64820268,added road name,1,0,0,0
64822408,added toilet,1,0,0,0
64828002,added buildings#hotosm-project-5552 #missingmaps #GPSDD,1,0,0,0
64928380,Named Skule Skerry,0,0,1,0
65020415,added street name,1,0,0,0
65024212,Added house footprints and adjusted outlines to include extensions,1,0,0,1
65033293,added roads,1,0,0,0
65150537,#hotosm-project-5514 #CycloneGaja #India Completing road network,1,0,0,0
65253449,Adding road data from Aerial imagery,1,0,0,0
65256723,correcting school name,0,0,1,1
65278532,Add Road #pupsjcwts Luzon missing roads validation | Making awesome PH data with #Kaart | https://git.io/fxQ0x |,1,0,0,0
65448903,added turnlanes,1,1,0,0
65448903,added turnlanes,1,0,0,0
65469193,Added road connecting to Cortez Road,1,0,0,0
65586173,Edited the alignment and geometry of some of the ways south of the BT Swimming Pool,0,1,1,1
65610912,Added residential roads,1,0,0,0
65685400,Added details to houses.,1,0,0,0
65753748,added rainbow springs as zoo,1,0,0,0
65771900,Aligned residential  ways as per Bing imagery,0,0,0,1
65831582,Added golf coarse geometry,1,0,0,0
65966735,StraÃŸenname,0,0,1,0
65981909,added missing road,1,0,0,0
66027879,Import NLS.fi road subnet 2465085,1,0,0,0
66040046,added service and residentical  roads,1,0,0,0
66045887,apartment added,1,0,0,0
66080422,Added missing tertiary connector in Tijuana,1,0,0,0
66147454,Added missing road segments.,1,0,0,0
66215167,deleted the road based on the  Mapbox,0,0,0,1
66267037,Mapped residential areas,1,0,0,0
66317335,Various local updates to highways and buildings around Northumberland park,1,0,1,1
66366141,Added road names,0,0,1,1
66368215,Improved alignment of unclassified way in this area,0,0,0,1
66378786,Added buildings and residential areas in #NigerState #Nigeria #hotosm-project-4319 #MissingMaps #MSF #MissingMapsTO,1,0,0,0
66414805,Aligned residential ways,0,0,0,1
66446606,Changed classification from residential to path.,0,1,0,1
66507493,Aligned  highway using ESRI in this location,0,0,0,1
66527296,Aligned the existing Residential ways as per DigitalGlobe Premium Imagery.,0,0,0,1
66547398,Existing footpath added,1,0,0,0
66552604,road fix,0,0,0,1
66580051,Mapped residential areas,1,0,0,0
66666968,join highways,0,1,0,1
66671554,add the name,1,0,0,0
66710210,Added cycle parking outside Lidl. Space for maybe about 5 bicycles.,1,0,1,0
66726028,#IndonesiaRoadMapping #hotosm validation,0,0,0,1
66753818,Added roads,1,0,0,0
66794395,#hotosm-project-5694 #withrefugees #missing mapsadded roads,1,0,0,0
66803193,Aligned existing residential highways using DG Premium Imagery,0,0,0,1
66859149,add road and square,1,0,0,0
67087177,#nsroadimport #Indonesia Added residential road,1,0,0,0
67088963,Changed the classification from unclassified to residential highway and created residential highway,1,1,0,1
67169093,Added layer tag to a bridge in Sha Tin æ²™ç”°,0,1,1,1
67193356,added some nodes in Park,1,0,0,0
67238978,lane count added,1,1,0,0
67339084,Adjusted residential ways and created residential ways,1,0,0,1
67422221,Mexico sharp angle roads #maproulette,0,1,0,1
67459895,Added missing addr:street tag. #Kaart #maproulette,1,0,0,0
67506400,named gas station,0,0,1,0
67515451,Determine road names and types,0,1,0,0
67554577,added existing building,1,0,0,0
67592664,Aligned some of the buildings south of the road ÃželamÃ¶rk,0,0,0,1
67610487,Created and aligned the residential highways as per bing imagery.,1,0,0,1
67751766,Aligned track roads using Bing Aerial Imagery,0,0,0,1
67777858,Added Access Health Centers,1,0,0,0
67807747,Added and aligned residential ways using ESRI imagery.,1,1,0,1
67894560,Adding missing roads from aerial imagery,1,0,0,0
67974383,#hotosm-project-5500 #CycloneGaja #India Completing road network,1,0,0,0
68136924,added lanes and turn lanes,1,1,0,0
68266363,Changed classification from residential to path using ESRI imagery within the area,0,1,0,1
68489237,Improved the alignment of residential highways,0,0,0,1
68491789,Added ford features,1,0,0,0
68511212,Fixed a residential oneway in Belgrade. #Kaart Ground Survey 2019. #Kaart-TM-127,0,0,0,1
68548188,added residential road,1,0,0,0
68614076,addedbuildings#hotosm-project-5567 #missingmaps #GPSDD,1,0,0,0
68619336,added road names #telenav,1,0,1,0
68631986,Added and aligned residential ways using ESRI,1,0,0,1
68803477,Add whether this road is a one-way road,0,1,0,0
68824003,Added service roads from East Mohawk Lane,1,0,0,0
68832077,added service road as per the imagery,1,0,0,0
68837938,Added lanes,1,0,0,0
68843072,Road geometry added and improved for the residential area.,1,0,0,1
68881170,Added buildings in #Moissala #Chad #hotosm-project-5798  #MissingMaps #MSF #blackrockLondon19,1,0,0,0
68889802,added paths,1,0,0,0
68905892,alligned  roads,0,1,0,1
68985734,added Tag start_ date to building Rheingoldhalle,0,1,1,1
69069359,edited roads,0,0,0,1
69081038,Aligned unclassified highway,0,1,0,1
69086244,#hotosm-project-5907 #CycloneIdai #Missing Maps #Mozambique-BuidingsRoadsWaterways,1,0,0,0
69151274,#hotosm-project-5876 #CycloneIdai #MissingMaps #Mozambique Expanding Road & Waterway Networks,1,0,0,0
69242551,I added some road surfaces and a road in Jordan. #Kaart Ground Survey #Kaart-177,1,1,1,0
69287432,added buildings to villages around Munti Macini,1,0,0,0
69299498,#hotosm-project-5903 #CycloneIdai #MissingMaps #Mozambique - Digitizing Roads and Waterways #Tsyk #faktakala,1,0,0,0
69299737,added sidewalk,1,0,0,0
69313344,Road realignment and additions,0,0,0,1
69386338,Modified generic name tag #maproulette,0,0,0,1
69442963,added cinstruction buildings,1,0,0,0
69443357,Add some buildings and modify some roads.,1,0,0,1
69456124,Aligned and added track ways using bing,1,0,0,1
69581632,Added garage tag,1,0,0,0
69597939,Adding streets and buildings in Suriname.,1,0,0,0
69611344,New historical places added.,1,0,1,0
69767632,Added and aligned roads in Alaji,1,0,0,1
69789969,Named a street,1,0,1,0
69791636,Eroad},1,0,0,0
69793397,edited roads,0,0,0,1
69853044,Features added,1,0,0,0
69893962,Added Roads based on Satellite imagery,1,0,0,0
69941628,added & aligned roads,1,0,0,1
69957883,Road update,0,0,0,1
69967020,Added office,1,0,0,0
69971926,edited roads,0,0,0,1
70062245,added driveway from Independence Avenue,1,0,0,0
70074920,BLR names abbreviations   #Kaart #Lightcyphers},0,0,1,1
70107687,Aligned the unclassified and residential using bing aerial imagery,0,0,0,1
70162139,Add road surfaces,0,1,0,1
70182505,Changed classification from residential to unclassified highways.,0,0,0,1
70193217,Determine road names and types,0,0,1,0
70208377,Added an address,1,0,1,0
70236226,#nsroadimport-1733 secondary road alligned and service road added,1,0,0,1
70282582,"Updated name tags for ""Ghdy Al-Maâ€˜aaniyat Street"". #Kaart 2019",0,0,1,1
70288776,Improved alignment of tertiary ways using Bing Imagery,0,0,0,1
70350456,Adjusted the alignment of the road  based on the latest imagery .,0,1,0,1
70378441,added a service road  based on imagery,1,0,0,0
70431987,Created unclassified highways using Esri World Imagery,1,1,0,0
70462863,Improving Hyderabad Hospital data(added Thumbay Hospital New Life) #maproulette,1,0,1,0
70509606,Added residential ways as per ESRI Imagery,1,0,0,0
70553320,Nieuwmunster: added some details,1,0,1,0
70554531,Adding missing roads from aerial imagery,1,0,0,0
70581184,Adding missing roads from aerial imagery,1,0,0,0
70660610,Improved the alignment of unclassified highway,0,0,0,1
70686615,aligned road,0,0,0,1
70711656,Simplified way geometry and added crossings in Da Nang,0,1,1,1
70715194,Added baseball diamonds and Immanuel Cemetery in Kimballton,1,0,0,0
70741118,pipeline added,1,0,0,0
70758694,maproulette Washington State TIGER road cleanup,0,0,0,1
70759078,Add road surfaces,1,1,0,0
70759347,Created and aligned residential way using Esri World Imagery,1,0,0,1
70799032,Cleared crossing highways,0,0,0,1
70858783,Add road surfaces,1,1,0,0
70869017,aligned roads and edited roads,0,0,0,1
70956275,Added service road near Laguna Road,1,0,0,0
71010768,Shun Long Road is does not have route number; 7 changed to Tseung Kwan O Road,0,0,1,1
71014117,Aligned the unclassified highway and changed the classification from track to unclassified highway,1,1,0,1
71151704,Added service road  as per  imagery,1,0,0,0
71162670,aligned roads,0,0,0,1
71167912,created roads,1,0,0,0
71316979,added primary tag,1,0,0,0
71322954,Added service roads,1,0,0,0
71335221,Added minor changes in Dhaka,0,0,0,1
71366988,Created and aligned the residential highways,1,0,0,1
71402432,aligned roads,0,1,0,1
71482311,Adding missing roads from aerial imagery,1,0,0,0
71496771,Added missing residential roads near Hazar Colony Road.,1,0,1,0
71585903,correction of road,0,0,0,1
71592435,Added missing residential road,1,0,0,0
71605427,Added residential ways,1,0,0,0
71679160,Adjusted residential ways,0,0,0,1
71718568,Determine bus/tram stop names,0,1,0,0
71927311,Improving missing streets and street names in Victoria,1,0,1,0
71934218,Created residential highways,1,0,0,0
72051684,Add road surfaces,1,1,0,0
72055687,added a driveway.,1,0,0,0
72095089,added and alligned road,1,0,0,1
72137609,added driveway from Wells Road.,1,0,0,0
72143612,Created and aligned the ways of residential.,1,0,0,1
72156036,Public road,1,0,0,0
72178064,Created Service Road from Lexington Road.,1,0,0,0
72179966,Added service roads from Foundation Boulevard,1,0,0,0
72187953,Created and aligned residential ways.,1,1,0,1
72325577,Added a ref tag #Kaart 2019,1,1,0,0
72340368,Added a service road from Floraton Road,1,0,0,0
72342204,Added Service Road from Industrial Park Road.,1,0,0,0
72346760,Update roads near Monte Belo including part of EN110,0,0,0,1
72355788,Add road surfaces,1,1,0,0
72358083,Modified residential ways using maxar premium imagery,0,1,0,1
72371249,Improved the alignment of existing ways,0,0,0,1
72377363,Added a pumping station,1,0,0,0
72391561,Created residential ways.,1,0,0,0
72497596,Aligned existing highways.,0,0,0,1
72513933,Improved the alignment of highways in this region,0,0,0,1
72534995,#IndonesiaRoadMapping #hotosm added unclassified ,1,0,0,0
72571470,Added ref tags and fixed a classification #Kaart 2019,1,1,0,1
72572233,Added Saxon Cottage common name,1,0,1,0
72592914,Added a driveway from Peters Road,1,0,0,0
72621409,Added address along Ø®ÛŒØ§Ø¨Ø§Ù† Ú©Ø±ÛŒÙ…ÛŒ in Tehran,1,0,0,0
72680424,#maproulette #BuildingRoadIntersectionCheck #Hotosm #Yercizenler #Antalya fixed building road intersection issue,0,1,0,1
72689695,Added  Service road connected to East AB Avenue,1,0,0,0
72736629,#tm-project-5968 #MissingMaps #CycloneIdai #Mozambique Improving Road & Waterways Networks,1,0,0,0
72808687,Improving missing streets and street names in Western Australia,1,0,1,1
72838616,added and edited roads,1,0,0,1
72847098,Added Service Road From Stoney Ridge Road.,1,0,0,0
72894155,Improved the alignment of highways in this region,0,1,0,1
72895412,added road geometry according to aerial imagery,1,1,0,0
72942496,Added service roads from GA 16,1,0,1,0
72945234,Aligned secondary highway.,0,0,0,1
